,address,lat,long
0,436 HAYWARD AVE,42.0177796,-93.6514517
1,3416 WEST ST,42.0246969,-93.6641856
2,320 S 2ND ST,42.0213891,-93.6148547
3,1524 DOUGLAS AVE,42.0380697,-93.6120649
4,2304 FILLMORE AVE,42.0449,-93.6318933
5,4003 MARIGOLD DR,42.0191089,-93.6716132
6,212 10TH ST 210,42.0310516,-93.6128959
7,2431 LAKESIDE DR,42.0634011,-93.64274089999999
8,602 KEN MARIL RD,41.9863363,-93.6036175
9,3901 MARIGOLD DR,42.019086,-93.6703816
10,3629 CHILTON AVE,42.057103,-93.6514127
11,700 KEN MARIL RD,41.9863635,-93.6021339
12,1102 CARROLL AVE,42.0322288,-93.6086225
13,2519 KELLOGG AVE,42.047252,-93.615957
14,812 TENNYSON AVE,42.015738,-93.68745
15,5220 MARYLAND ST,42.0357536,-93.68991940000001
16,319 HARTFORD DR,42.0251853,-93.6894042
17,2910 WOOD ST,42.0219435,-93.6578284
18,2102 PRAIRIE VIEW EAST,42.0427279,-93.6364656
19,424 TEAGARDEN DR,41.9873619,-93.6054374
20,1514 CALIFORNIA AVE,42.0373416,-93.69098939999999
21,1216 CARROLL AVE,42.0338488,-93.60870159999999
22,626 MEADOW PL,41.992342,-93.60240300000001
23,829 DOUGLAS AVE,42.0299412,-93.6125793
24,1342 BARKLEY CT,42.051423,-93.62831899999999
25,4205 CRESTMOOR AVE,42.0619944,-93.64571049999999
26,3028 COTTONTAIL LN,41.99435740000001,-93.65026429999999
27,2711 HAMPTON ST,42.0461934,-93.6459481
28,1636 JOHNSON ST,42.048968,-93.632865
29,3331 WESTON DR,42.0614983,-93.657825
30,926 DUFF AVE,42.0311722,-93.61028429999999
31,4302 WELBECK DR,42.0632601,-93.6441465
32,4103 CRESTMOOR AVE,42.061763,-93.6444831
33,816 BROOKRIDGE AVE,42.029399,-93.627
34,1522 MAXWELL AVE,42.0376628,-93.606565
35,3005 CEDAR LN,41.9951757,-93.6494525
36,5408 CERVANTES DR,42.0168902,-93.69193150000001
37,118 E 11TH ST,42.0318476,-93.6096908
38,3323 BUCHANAN CT,42.0549831,-93.63177460000001
39,1115 28TH ST,42.0488372,-93.6258371
40,3013 ALMOND RD,42.0559073,-93.65137310000001
41,302 OPAL CIR,41.99400960000001,-93.60735629999999
42,1903 MEADOWLANE AVE,42.041367,-93.60545719999999
43,4015 TORONTO ST,42.0360221,-93.673079
44,1412 KELLOGG AVE,42.0362045,-93.6136477
45,3335 PRESTON CIR,42.0605784,-93.65808589999999
46,3908 WELBECK DR,42.0603433,-93.6435922
47,3218 WEST ST,42.0247405,-93.660997
48,1010 GRAND AVE,42.03157909999999,-93.6200784
49,1203 BURNETT AVE,42.0334401,-93.6158737
50,426 HAYWARD AVE 428,42.0181276,-93.6514519
51,2807 BRISTOL DR,42.047406,-93.647166
52,3414 EISENHOWER AVE,42.0559751,-93.6376533
53,4824 WALLER ST,42.0135674,-93.68540159999999
54,3012 OAKLAND ST 3014,42.0279616,-93.6587196
55,1306 SCOTT CIR,42.0346517,-93.66032369999999
56,3207 STOCKBURY ST,42.0624123,-93.656264
57,808 NARLAND DR,42.0400015,-93.6218792
58,2900 RIDGETOP RD,42.0497012,-93.6558878
59,2614 SOUTHRIDGE CIR,42.0473036,-93.6500944
60,301 S RUSSELL AVE,42.020356,-93.62864739999999
61,310 WESTWOOD DR,42.0249489,-93.6671473
62,2805 BRISTOL DR,42.047338,-93.64703899999999
63,3317 PRESTON CIR,42.060601,-93.65737299999999
64,5203 SCHUBERT ST,42.0214834,-93.6879775
65,3320 FOXLEY DR,42.058348,-93.65758900000002
66,410 THACKERAY AVE,42.019404,-93.68655079999999
67,3623 CHILTON AVE,42.0569486,-93.6514127
68,2320 KNAPP ST,42.0188965,-93.64731429999999
69,3142 BAYBERRY RD,42.054148,-93.655767
70,3917 WELBECK DR,42.0607343,-93.6440475
71,2841 ASPEN RD,42.051465,-93.64776959999999
72,5325 CERVANTES DR,42.01758299999999,-93.691007
73,433 ASPEN RIDGE RD,42.009536,-93.616112
74,4316 HARRISON CIR,42.063269,-93.63610500000001
