GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MoSold,YrSold,lat,long,TotalPorchSF
856,126000,30,RL,64.9,7890,Reg,SWISU,1Fam,1Story,6,6,1939,1950,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,0.0,618.0,856.0,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,TA,4,1,Gd,Detchd,Unf,2.0,399.0,TA,TA,Y,0,3,2010,42.0177796,-93.6514517,166
1049,139500,120,RL,42.0,4235,Reg,Edwards,TwnhsE,1Story,5,5,1984,1984,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,393.0,104.0,1049.0,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,Gd,5,0,None,Attchd,Fin,1.0,266.0,TA,TA,Y,0,2,2009,42.0246969,-93.6641856,105
1049,139500,120,RL,42.0,4235,Reg,Edwards,TwnhsE,1Story,5,5,1984,1984,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,393.0,104.0,1049.0,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,Gd,5,0,None,Attchd,Fin,1.0,266.0,TA,TA,Y,0,2,2009,42.0246969,-93.6641856,105
1001,124900,30,C (all),60.0,6060,Reg,IDOTRR,1Fam,1Story,5,9,1930,2007,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,0.0,100.0,837.0,Ex,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,Gd,5,0,None,Detchd,Unf,1.0,216.0,TA,Po,N,154,11,2007,42.0213891,-93.6148547,128
1039,114000,70,RL,80.0,8146,Reg,OldTown,1Fam,2Story,4,8,1900,2003,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,0.0,405.0,405.0,Gd,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,TA,6,0,None,Detchd,Unf,1.0,281.0,TA,TA,N,0,5,2009,42.0380697,-93.6120649,279
1665,227000,60,RL,70.0,8400,Reg,NWAmes,1Fam,2Story,8,6,2001,2001,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,0.0,167.0,810.0,Ex,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,Gd,6,0,None,Attchd,Fin,2.0,528.0,TA,TA,Y,0,11,2009,42.0449,-93.6318933,45
1922,198500,85,RL,64.0,7301,Reg,Edwards,1Fam,SFoyer,7,5,2003,2003,HdBoard,BrkFace,500.0,Gd,TA,Slab,None,None,None,None,0.0,0.0,0.0,0.0,Ex,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,Gd,7,1,Ex,BuiltIn,RFn,2.0,672.0,TA,TA,Y,0,7,2009,42.0191089,-93.6716132,177
936,93000,20,RM,60.0,6000,Reg,OldTown,2fmCon,1Story,4,4,1953,1953,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,0.0,936.0,936.0,TA,N,SBrkr,936,0,0,0.0,0.0,1,0,2,TA,4,0,None,Detchd,Unf,2.0,576.0,TA,TA,Y,0,2,2009,42.0310516,-93.6128959,144
1246,187687,20,RL,53.0,3710,Reg,Blmngtn,1Fam,1Story,7,5,2007,2008,WdShing,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,0.0,1146.0,1146.0,Ex,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,Gd,5,1,Gd,Attchd,Fin,2.0,428.0,TA,TA,Y,100,3,2008,42.0634011,-93.6427409,24
889,137500,20,RL,74.0,12395,Reg,Mitchel,1Fam,1Story,5,6,1984,1984,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,0.0,217.0,864.0,TA,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,TA,6,0,None,Attchd,Unf,2.0,484.0,TA,TA,Y,0,4,2008,41.9863363,-93.6036175,0
