********** SWISU  42 observations **********
PavedDrive_Y          0.203426
YearRemodAdd          0.173679
TotRmsAbvGrd          0.142055
LotArea               0.141450
Foundation_CBlock    -0.126206
Electrical_SBrkr      0.105205
LotConfig_Inside     -0.101382
GarageYrBlt_1939.0    0.098494
EnclosedPorch         0.095211
FullBath              0.078357
CentralAir_Y          0.077845
BedroomAbvGr          0.074687
OverallQual           0.073542
GarageType_Attchd     0.073186
MSZoning_RH           0.050924



********** Edwards  169 observations **********
OverallCond           0.450355
GrLivArea             0.353280
Fireplaces            0.262107
FullBath              0.227507
YearBuilt             0.173510
Condition1_PosN      -0.159643
Alley_None            0.130218
BsmtCond_Gd           0.123056
GarageCars            0.112672
GarageCond_TA         0.106469
WoodDeckSF            0.102679
BsmtFinSF1            0.098228
BsmtExposure_Gd       0.092102
GarageYrBlt_1922.0   -0.088923
MSZoning_RL           0.088491



********** IDOTRR  80 observations **********
OpenPorchSF            -0.321936
1stFlrSF                0.283442
OverallCond             0.256465
GrLivArea               0.245267
Exterior1st_WdShing     0.223014
OverallQual             0.200743
Alley_Pave             -0.193772
SaleCondition_Normal    0.189581
BsmtFinSF1              0.148440
2ndFlrSF                0.125129
PavedDrive_Y            0.117366
BsmtQual_Gd             0.088624
MSZoning_RM             0.085823
GarageYrBlt_1958.0     -0.075178
Exterior2nd_VinylSd     0.072217



********** OldTown  217 observations **********
GrLivArea               0.629875
OverallQual             0.489359
OverallCond             0.445709
GarageYrBlt_1928.0     -0.442569
1stFlrSF                0.187578
GarageCars              0.120309
CentralAir_Y            0.101284
TotalBsmtSF             0.084976
LandContour_Lvl         0.067608
SaleCondition_Normal    0.063074
LotArea                 0.060302
Fireplaces              0.058271
YearBuilt               0.056481
Foundation_CBlock       0.056178
GarageCond_Fa          -0.050261



********** NWAmes  124 observations **********
GrLivArea               0.469320
SaleCondition_Family   -0.130028
MSSubClass             -0.096571
SaleCondition_Normal    0.094412
YearRemodAdd            0.076691
Condition1_Feedr       -0.060277
OverallCond             0.057451
BsmtFinType1_GLQ        0.049549
ExterQual_TA           -0.048591
1stFlrSF                0.032045
Foundation_CBlock      -0.031307
FireplaceQu_None       -0.031278
GarageFinish_RFn        0.031058
BsmtHalfBath            0.030746
BsmtFullBath            0.027161



********** Blmngtn  23 observations **********
GrLivArea             0.109964
SaleType_New          0.081269
BsmtFullBath          0.081118
YrSold               -0.080753
GarageYrBlt_2007.0   -0.077100
1stFlrSF              0.054533
GarageYrBlt_2002.0    0.046787
OverallQual           0.041123
GarageCars           -0.027521
BsmtExposure_No      -0.020800
BsmtExposure_Gd       0.015724
FireplaceQu_TA        0.007461
BsmtUnfSF            -0.002827
GarageYrBlt_1929.0    0.000000
GarageYrBlt_1932.0    0.000000



********** Mitchel  105 observations **********
TotalBsmtSF             0.368858
GrLivArea               0.210592
OverallQual             0.179404
KitchenQual_TA         -0.083853
ExterQual_Gd            0.080042
GarageCars              0.074339
FireplaceQu_None       -0.069795
YrSold                  0.050916
YearBuilt               0.046675
SaleCondition_Normal    0.045948
BsmtFinSF1              0.045810
BldgType_Duplex        -0.045452
Electrical_SBrkr        0.044206
BsmtFullBath            0.041441
Fence_MnPrv            -0.040417



********** NridgHt  123 observations **********
GrLivArea              0.457574
OverallQual            0.227338
BsmtFinSF1             0.225354
MSSubClass            -0.139747
MasVnrArea             0.112991
Exterior2nd_Wd Shng   -0.072289
TotalBsmtSF            0.059597
BsmtExposure_Gd        0.055227
SaleType_New           0.047020
GarageYrBlt_2008.0     0.044489
Exterior1st_MetalSd    0.038659
FireplaceQu_None      -0.038515
ExterQual_Gd          -0.035293
BsmtQual_Gd           -0.026792
HeatingQC_Gd           0.021800



********** NAmes  417 observations **********
GrLivArea               0.434120
OverallQual             0.218817
TotalBsmtSF             0.147025
OverallCond             0.132286
GarageCars              0.112725
SaleCondition_Normal    0.069089
