PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,MoSold,YrSold,lot_bucket,mean_LotFrontage,Prop_Addr,lat,long,TotalPorchSF
909176150,856,126000,30,RL,64.9,7890,Reg,SWISU,1Fam,1Story,6,6,1939,1950,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,0.0,618.0,856.0,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,TA,4,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,3,2010,"(7298.458, 8298.201]",64.93913043478261,436 HAYWARD AVE,42.0177796,-93.6514517,166
905476230,1049,139500,120,RL,42.0,4235,Reg,Edwards,TwnhsE,1Story,5,5,1984,1984,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,393.0,104.0,1049.0,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,Gd,5,0,None,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,2,2009,"(3299.486, 4299.229]",46.15492957746479,3416 WEST ST,42.0246969,-93.6641856,105
905476230,1049,139500,120,RL,42.0,4235,Reg,Edwards,TwnhsE,1Story,5,5,1984,1984,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,393.0,104.0,1049.0,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,Gd,5,0,None,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,2,2009,"(3299.486, 4299.229]",46.15492957746479,3416 WEST ST,42.0246969,-93.6641856,105
911128020,1001,124900,30,C (all),60.0,6060,Reg,IDOTRR,1Fam,1Story,5,9,1930,2007,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,0.0,100.0,837.0,Ex,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,Gd,5,0,None,Detchd,1930.0,Unf,1.0,216.0,TA,Po,N,154,11,2007,"(5298.972, 6298.715]",54.06015037593985,320 S 2ND ST,42.0213891,-93.6148547,128
535377150,1039,114000,70,RL,80.0,8146,Reg,OldTown,1Fam,2Story,4,8,1900,2003,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,0.0,405.0,405.0,Gd,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,TA,6,0,None,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,5,2009,"(7298.458, 8298.201]",64.93913043478261,1524 DOUGLAS AVE,42.0380697,-93.6120649,279
534177230,1665,227000,60,RL,70.0,8400,Reg,NWAmes,1Fam,2Story,8,6,2001,2001,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,0.0,167.0,810.0,Ex,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,Gd,6,0,None,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,11,2009,"(8298.201, 9297.944]",68.7248322147651,2304 FILLMORE AVE,42.0449,-93.6318933,45
908128060,1922,198500,85,RL,64.0,7301,Reg,Edwards,1Fam,SFoyer,7,5,2003,2003,HdBoard,BrkFace,500.0,Gd,TA,Slab,None,None,None,None,0.0,0.0,0.0,0.0,Ex,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,Gd,7,1,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA,Y,0,7,2009,"(7298.458, 8298.201]",64.93913043478261,4003 MARIGOLD DR,42.0191089,-93.6716132,177
902135020,936,93000,20,RM,60.0,6000,Reg,OldTown,2fmCon,1Story,4,4,1953,1953,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,0.0,936.0,936.0,TA,N,SBrkr,936,0,0,0.0,0.0,1,0,2,TA,4,0,None,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,2,2009,"(5298.972, 6298.715]",54.06015037593985,212 10TH ST 210,42.0310516,-93.6128959,144
528228540,1246,187687,20,RL,53.0,3710,Reg,Blmngtn,1Fam,1Story,7,5,2007,2008,WdShing,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,0.0,1146.0,1146.0,Ex,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,Gd,5,1,Gd,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,3,2008,"(3299.486, 4299.229]",46.15492957746479,2431 LAKESIDE DR,42.0634011,-93.6427409,24
923426010,889,137500,20,RL,74.0,12395,Reg,Mitchel,1Fam,1Story,5,6,1984,1984,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,0.0,217.0,864.0,TA,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,TA,6,0,None,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,4,2008,"(12297.173, 13296.916]",82.49514563106796,602 KEN MARIL RD,41.9863363,-93.6036175,0
908186050,1072,140000,180,RM,35.0,3675,Reg,Edwards,TwnhsE,SFoyer,6,5,2005,2005,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,0.0,80.0,547.0,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,Gd,5,0,None,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,5,2007,"(3299.486, 4299.229]",46.15492957746479,3901 MARIGOLD DR,42.019086,-93.6703816,44
528186170,1342,219500,120,RL,48.0,6240,Reg,NridgHt,TwnhsE,1Story,8,5,2006,2007,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,0.0,1318.0,1342.0,Ex,Y,SBrkr,1342,0,0,0.0,0.0,2,0,2,Gd,6,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,2,2008,"(5298.972, 6298.715]",54.06015037593985,3629 CHILTON AVE,42.057103,-93.6514127,35
923426070,1274,136000,60,RL,63.0,10475,Reg,Mitchel,1Fam,2Story,5,5,1991,1991,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,0.0,166.0,624.0,Gd,Y,SBrkr,624,650,0,0.0,0.0,1,1,3,TA,6,0,None,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,3,2010,"(10297.687, 11297.43]",74.60964912280701,700 KEN MARIL RD,41.9863635,-93.6021339,0
902204080,861,80000,30,RM,62.0,7404,Reg,OldTown,1Fam,1Story,4,6,1920,1950,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,0.0,861.0,861.0,TA,Y,SBrkr,861,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,11,2009,"(7298.458, 8298.201]",64.93913043478261,1102 CARROLL AVE,42.0322288,-93.6086225,128
535105100,1394,159000,20,RL,74.1,9500,IR1,NAmes,1Fam,1Story,6,5,1963,1963,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,0.0,785.0,1394.0,Gd,Y,SBrkr,1394,0,0,1.0,0.0,1,1,3,TA,6,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,7,2009,"(9297.944, 10297.687]",74.05555555555556,2519 KELLOGG AVE,42.047252,-93.615957,261
907405020,1536,214000,20,RL,70.0,9135,Reg,CollgCr,1Fam,1Story,7,5,2002,2003,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,0.0,726.0,1536.0,Ex,Y,SBrkr,1536,0,0,1.0,0.0,2,0,3,Gd,7,0,None,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,12,2008,"(8298.201, 9297.944]",68.7248322147651,812 TENNYSON AVE,42.015738,-93.68745,74
531382110,1680,163000,60,RL,50.0,8480,IR1,SawyerW,1Fam,2Story,6,5,1993,1994,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,0.0,284.0,886.0,Ex,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,Gd,7,0,None,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,10,2008,"(8298.201, 9297.944]",68.7248322147651,5220 MARYLAND ST,42.0357536,-93.6899194,96
906380120,1274,203000,20,RL,68.0,8814,Reg,CollgCr,1Fam,1Story,7,5,2005,2007,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,0.0,349.0,1274.0,Ex,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,Gd,6,0,None,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,1,2007,"(8298.201, 9297.944]",68.7248322147651,319 HARTFORD DR,42.0251853,-93.6894042,98
909101060,864,67000,30,RL,45.0,8248,Reg,Edwards,1Fam,1Story,3,3,1914,1950,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,0.0,823.0,864.0,TA,N,FuseF,864,0,0,1.0,0.0,1,0,2,TA,5,0,None,None,None,None,0.0,0.0,None,None,N,0,9,2008,"(7298.458, 8298.201]",64.93913043478261,2910 WOOD ST,42.0219435,-93.6578284,100
534152050,1610,205000,20,RL,74.6,10603,IR1,NWAmes,1Fam,1Story,6,7,1977,2001,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,0.0,410.0,1610.0,Gd,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,Gd,6,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,2,2010,"(10297.687, 11297.43]",74.60964912280701,2102 PRAIRIE VIEW EAST,42.0427279,-93.6364656,68
923252075,1091,131250,80,RL,62.0,7706,Reg,Mitchel,1Fam,SLvl,6,5,1993,1996,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,270.0,0.0,384.0,Ex,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,TA,5,0,None,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,8,2009,"(7298.458, 8298.201]",64.93913043478261,424 TEAGARDEN DR,41.9873619,-93.6054374,0
531376060,1486,181000,20,RL,65.0,7441,IR1,SawyerW,1Fam,1Story,7,5,2006,2006,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1461.0,1461.0,Ex,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,Gd,7,0,None,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,6,2007,"(7298.458, 8298.201]",64.93913043478261,1514 CALIFORNIA AVE,42.0373416,-93.6909894,32
902201120,789,115000,20,RM,50.0,6000,Reg,OldTown,1Fam,1Story,5,5,1948,1950,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,169.0,516.0,789.0,Ex,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,TA,5,0,None,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,4,2008,"(5298.972, 6298.715]",54.06015037593985,1216 CARROLL AVE,42.0338488,-93.6087016,0
923228080,1092,98000,160,RM,21.0,1477,Reg,MeadowV,Twnhs,2Story,6,9,1970,2007,CemntBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,0.0,188.0,546.0,Ex,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,TA,6,0,None,None,None,None,0.0,0.0,None,None,Y,187,3,2008,"(1086.055, 2299.743]",22.25,626 MEADOW PL,41.992342,-93.602403,0
902326030,2640,265979,70,RM,65.0,11700,IR1,OldTown,1Fam,2Story,7,7,1880,2003,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,0.0,1240.0,1240.0,TA,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,Gd,8,1,Gd,Detchd,1950.0,Unf,4.0,864.0,TA,TA,N,181,5,2009,"(11297.43, 12297.173]",82.47651006711409,829 DOUGLAS AVE,42.0299412,-93.6125793,386
527451330,1092,105500,160,RM,21.0,1680,Reg,BrDale,Twnhs,2Story,5,5,1971,1971,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,0.0,225.0,525.0,TA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,TA,6,0,None,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,3,2010,"(1086.055, 2299.743]",22.25,1342 BARKLEY CT,42.051423,-93.628319,0
528218100,1458,168165,60,RL,58.0,13204,IR1,Gilbert,1Fam,2Story,7,5,2006,2007,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,0.0,608.0,608.0,Ex,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,Gd,6,0,None,BuiltIn,2007.0,Fin,2.0,454.0,TA,TA,Y,100,5,2007,"(12297.173, 13296.916]",82.49514563106796,4205 CRESTMOOR AVE,42.0619944,-93.6457105,33
916386140,1466,201000,20,RL,73.0,8925,IR1,Timber,1Fam,1Story,8,5,2007,2007,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,0.0,1450.0,1466.0,Ex,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,Gd,7,0,None,Attchd,2007.0,Fin,3.0,610.0,TA,TA,Y,100,7,2009,"(8298.201, 9297.944]",68.7248322147651,3028 COTTONTAIL LN,41.99435740000001,-93.6502643,18
533221090,1573,177500,160,FV,22.2,2117,Reg,Somerst,Twnhs,2Story,6,5,2000,2000,MetalSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,378.0,0.0,378.0,756.0,Ex,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,Gd,5,0,None,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,6,2010,"(1086.055, 2299.743]",22.25,2711 HAMPTON ST,42.0461934,-93.6459481,32
534128010,2090,200000,60,RL,74.6,10382,IR1,NWAmes,1Fam,2Story,7,6,1973,1973,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,32.0,216.0,1107.0,Ex,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,TA,7,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,11,2009,"(10297.687, 11297.43]",74.60964912280701,1636 JOHNSON ST,42.048968,-93.632865,432
528106110,2046,450000,20,RL,105.0,15431,Reg,NridgHt,1Fam,1Story,10,5,2005,2006,VinylSd,BrkFace,400.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1430.0,0.0,564.0,1994.0,Ex,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,Ex,7,2,Gd,Attchd,2005.0,Fin,3.0,878.0,TA,TA,Y,188,8,2007,"(15296.402, 16296.145]",84.5,3331 WESTON DR,42.0614983,-93.657825,240
902206260,886,91300,30,RM,50.0,5784,Reg,OldTown,1Fam,1Story,5,8,1938,1996,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,0.0,190.0,190.0,Gd,Y,FuseA,886,0,0,0.0,0.0,1,0,2,TA,4,0,None,Attchd,1938.0,Unf,1.0,273.0,TA,TA,Y,144,12,2009,"(5298.972, 6298.715]",54.06015037593985,926 DUFF AVE,42.0311722,-93.6102843,100
528222090,1258,173500,20,RL,64.0,7697,Reg,Gilbert,1Fam,1Story,7,6,2007,2007,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1246.0,1246.0,Ex,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,Gd,6,0,None,Attchd,2007.0,RFn,2.0,462.0,TA,TA,Y,0,8,2007,"(7298.458, 8298.201]",64.93913043478261,4302 WELBECK DR,42.0632601,-93.6441465,0
528218150,1324,199500,20,RL,100.0,18494,IR1,Gilbert,1Fam,1Story,6,5,2005,2005,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,0.0,1324.0,1324.0,Ex,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,Gd,6,0,None,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,1,2010,"(18295.631, 19295.374]",95.5,4103 CRESTMOOR AVE,42.061763,-93.6444831,23
903400180,1848,207000,50,RL,64.0,13053,Reg,BrkSide,1Fam,1.5Fin,6,7,1923,2000,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,0.0,833.0,833.0,Gd,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,Gd,8,1,Gd,Detchd,1922.0,Unf,2.0,370.0,TA,TA,N,0,6,2008,"(12297.173, 13296.916]",82.49514563106796,816 BROOKRIDGE AVE,42.029399,-93.627,220
535453210,1269,155000,20,RL,70.0,7931,Reg,NAmes,1Fam,1Story,5,6,1960,1960,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,374.0,532.0,363.0,1269.0,TA,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,TA,6,1,Fa,Detchd,1964.0,Unf,1.0,308.0,TA,TA,Y,0,6,2008,"(7298.458, 8298.201]",64.93913043478261,1522 MAXWELL AVE,42.0376628,-93.606565,0
916386010,1346,220000,20,RL,88.0,11896,IR1,Timber,1Fam,1Story,7,5,2008,2008,VinylSd,Stone,60.0,Gd,TA,PConc,Gd,TA,No,GLQ,78.0,0.0,1258.0,1336.0,Ex,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,Gd,6,1,TA,Attchd,2008.0,Fin,3.0,660.0,TA,TA,Y,100,5,2010,"(11297.43, 12297.173]",82.47651006711409,3005 CEDAR LN,41.9951757,-93.6494525,48
907181090,1749,196000,60,RL,68.0,9272,IR1,CollgCr,1Fam,2Story,7,5,1999,1999,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,500.0,0.0,342.0,842.0,Ex,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,Gd,7,0,None,Attchd,1999.0,RFn,2.0,515.0,TA,TA,Y,140,6,2006,"(8298.201, 9297.944]",68.7248322147651,5408 CERVANTES DR,42.0168902,-93.6919315,85
