,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Total_Porch
0,856,126000,30,RL,64.9,7890,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,Gable,CompShg,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,856.0,GasA,TA,Y,SBrkr,1.0,0.0,1,0,2,1,TA,Typ,1,Gd,Detchd,Unf,399.0,TA,TA,Y,0,0,None,None,None,0,3,2010,WD ,Normal,166
1,1049,139500,120,RL,42.0,4235,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,Gable,CompShg,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,ALQ,1049.0,GasA,TA,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,Typ,0,None,Attchd,Fin,266.0,TA,TA,Y,0,0,None,None,None,0,2,2009,WD ,Normal,105
2,1049,139500,120,RL,42.0,4235,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,Gable,CompShg,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,ALQ,1049.0,GasA,TA,Y,SBrkr,1.0,0.0,2,0,2,1,Gd,Typ,0,None,Attchd,Fin,266.0,TA,TA,Y,0,0,None,None,None,0,2,2009,WD ,Normal,105
3,1001,124900,30,C (all),60.0,6060,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,Hip,CompShg,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,Unf,837.0,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,2,1,Gd,Typ,0,None,Detchd,Unf,216.0,TA,Po,N,154,0,None,None,None,0,11,2007,WD ,Normal,128
4,1039,114000,70,RL,80.0,8146,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,Gable,CompShg,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,Unf,405.0,GasA,Gd,Y,SBrkr,0.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,281.0,TA,TA,N,0,0,None,None,None,0,5,2009,WD ,Normal,279
5,1665,227000,60,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,810.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,1,3,1,Gd,Typ,0,None,Attchd,Fin,528.0,TA,TA,Y,0,0,None,None,None,0,11,2009,WD ,Normal,45
6,1922,198500,85,RL,64.0,7301,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,Gable,CompShg,HdBoard,BrkFace,500.0,Gd,TA,Slab,None,None,None,None,None,0.0,GasA,Ex,Y,SBrkr,0.0,0.0,3,0,4,1,Gd,Typ,1,Ex,BuiltIn,RFn,672.0,TA,TA,Y,0,0,None,None,None,0,7,2009,ConLD,Normal,177
7,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,Gable,CompShg,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,Unf,936.0,GasA,TA,N,SBrkr,0.0,0.0,1,0,2,1,TA,Min2,0,None,Detchd,Unf,576.0,TA,TA,Y,0,0,None,None,None,0,2,2009,WD ,Normal,144
8,1246,187687,20,RL,53.0,3710,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,WdShing,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,Unf,1146.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,2,1,Gd,Typ,1,Gd,Attchd,Fin,428.0,TA,TA,Y,100,0,None,None,None,0,3,2008,New,Partial,24
9,889,137500,20,RL,74.0,12395,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,Gable,CompShg,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,864.0,GasA,TA,Y,SBrkr,0.0,0.0,1,0,3,1,TA,Typ,0,None,Attchd,Unf,484.0,TA,TA,Y,0,0,None,None,None,0,4,2008,WD ,Normal,0
10,1072,140000,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,Gable,CompShg,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,547.0,GasA,Ex,Y,SBrkr,1.0,0.0,1,0,2,1,Gd,Typ,0,None,Basment,Fin,525.0,TA,TA,Y,0,0,None,None,None,0,5,2007,WD ,Normal,44
11,1342,219500,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Hip,CompShg,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1342.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,2,1,Gd,Typ,1,Gd,Attchd,RFn,550.0,TA,TA,Y,0,0,None,None,None,0,2,2008,WD ,Normal,35
12,1274,136000,60,RL,63.0,10475,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,Gable,CompShg,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,Unf,624.0,GasA,Gd,Y,SBrkr,0.0,0.0,1,1,3,1,TA,Typ,0,None,Detchd,Unf,576.0,TA,TA,Y,22,0,None,GdWo,None,0,3,2010,WD ,Normal,0
13,861,80000,30,RM,62.0,7404,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,Gable,CompShg,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,861.0,GasA,TA,Y,SBrkr,0.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,288.0,TA,TA,N,0,0,None,None,None,0,11,2009,Oth,Normal,128
14,1394,159000,20,RL,74.1,9500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,Gable,CompShg,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1394.0,GasA,Gd,Y,SBrkr,1.0,0.0,1,1,3,1,TA,Typ,2,Gd,Attchd,RFn,514.0,TA,TA,Y,0,0,None,None,None,0,7,2009,WD ,Normal,261
15,1536,214000,20,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,Gable,CompShg,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1536.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,532.0,TA,TA,Y,192,0,None,None,None,0,12,2008,WD ,Normal,74
16,1680,163000,60,RL,50.0,8480,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,Gable,CompShg,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,886.0,GasA,Ex,Y,SBrkr,0.0,1.0,2,1,3,1,Gd,Typ,0,None,Attchd,RFn,474.0,TA,TA,Y,144,0,None,None,None,0,10,2008,WD ,Normal,96
17,1274,203000,20,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1274.0,GasA,Ex,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,508.0,TA,TA,Y,264,0,None,None,None,0,1,2007,New,Partial,98
18,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,Gable,CompShg,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,864.0,GasA,TA,N,FuseF,1.0,0.0,1,0,2,1,TA,Typ,0,None,None,None,0.0,None,None,N,0,0,None,None,None,0,9,2008,WD ,Normal,100
19,1610,205000,20,RL,74.6,10603,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,Gable,CompShg,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,Unf,1610.0,GasA,Gd,Y,SBrkr,1.0,0.0,2,0,3,1,Gd,Typ,2,TA,Attchd,RFn,480.0,TA,TA,Y,168,0,None,None,None,0,2,2010,WD ,Normal,68
20,1091,131250,80,RL,62.0,7706,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,Gable,CompShg,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,GLQ,384.0,GasA,Ex,Y,SBrkr,0.0,1.0,1,0,2,1,TA,Typ,0,None,Attchd,Fin,429.0,TA,TA,Y,280,0,None,None,Shed,700,8,2009,WD ,Normal,0
21,1486,181000,20,RL,65.0,7441,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1461.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,566.0,TA,TA,Y,0,0,None,None,None,0,6,2007,WD ,Normal,32
22,789,115000,20,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,Gable,CompShg,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,789.0,GasA,Ex,Y,SBrkr,0.0,0.0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,250.0,TA,TA,Y,0,0,None,None,None,0,4,2008,WD ,Partial,0
23,1092,98000,160,RM,21.0,1477,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,Gable,CompShg,CemntBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,546.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,1,3,1,TA,Typ,0,None,None,None,0.0,None,None,Y,187,0,None,None,None,0,3,2008,WD ,Normal,0
24,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,Mansard,CompShg,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,Unf,1240.0,GasW,TA,N,SBrkr,0.0,0.0,1,1,4,1,Gd,Typ,1,Gd,Detchd,Unf,864.0,TA,TA,N,181,0,None,None,None,0,5,2009,WD ,Normal,386
25,1092,105500,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,525.0,GasA,TA,Y,SBrkr,0.0,0.0,1,1,3,1,TA,Typ,0,None,Detchd,Unf,320.0,TA,TA,Y,0,0,None,None,None,0,3,2010,WD ,Normal,0
26,1458,168165,60,RL,58.0,13204,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,VinylSd,Stone,44.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,608.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,Typ,0,None,BuiltIn,Fin,454.0,TA,TA,Y,100,0,None,None,None,0,5,2007,New,Partial,33
27,1466,201000,20,RL,73.0,8925,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1466.0,GasA,Ex,Y,SBrkr,0.0,0.0,2,0,3,1,Gd,Typ,0,None,Attchd,Fin,610.0,TA,TA,Y,100,0,None,None,None,0,7,2009,WD ,Normal,18
